Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Honorat Franck,MO,23,27.0,5.35,5.35,5.7,13,13,38,1.14,1.14,1.29,2,2,11,0.85,0.85,0.95,1000,1000,3145,76.92,76.92,82.76,500.0,286.0,6.0,11.5,7.0,7.5,4.0,4.5,5.5,4.5,4.5,6.0,6.5,4.5,4.5,6.0,4.5,0.0,0.0,4.5,0.0,0.0,5.0,6.0,5.0,7.0,5.0,3.5,7.5,4.5,5.0,8.5,4.0,7.0,5.0,5.5,0.0,4.0,7.0,5.5,7.0,7.0,3.5,,,,1.0,5.0,8.0,0.7358,559.0,9.0,12.0,38.32,12.0,,,6.0,Brest,Nice,2022-11-06,50.0,0.34379,0.34522,0.36343,
Nuno da Costa,A,11,13.0,5.25,5.33,5.25,10,6,34,0.68,0.61,1.2,2,1,11,0.8,0.83,0.85,635,346,2444,63.5,57.67,71.88,318.0,222.0,6.0,5.5,5.0,5.0,6.0,4.5,6.0,5.5,0.0,5.0,4.0,0.0,6.0,5.5,0.0,4.5,6.0,4.5,4.5,3.5,4.0,6.0,3.5,7.0,6.5,8.0,4.0,7.5,4.0,7.0,0.0,0.0,6.0,4.0,6.0,6.5,4.0,0.0,4.5,6.0,1.0,,,,,1.0,,0.7012,296.0,9.0,9.0,53.38,12.0,,,0.0,Auxerre,Troyes,2022-11-04,26.749999999999996,0.31924,0.31885,0.3208,
Maripán Guillermo,DC,15,18.0,5.25,6.0,5.21,8,1,31,1.0,0.0,1.01,2,0,2,0.88,1.0,0.81,586,90,2178,73.25,90.0,70.26,293.0,1089.0,4.0,7.5,6.0,0.0,5.5,0.0,5.0,0.0,7.0,0.0,4.0,4.0,0.0,5.5,5.0,5.0,0.0,4.5,6.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.5,6.0,5.5,6.0,3.5,7.0,5.5,5.0,4.0,6.0,6.5,6.0,5.0,2.0,,,,,,1.0,0.8744,356.0,9.0,8.0,50.91,9.0,,,0.0,Monaco,Toulouse,2022-11-06,50.0,0.63774,0.65261,0.64803,
Ripart Renaud,A,14,17.0,5.25,5.5,5.15,12,1,33,0.89,0.0,0.76,2,0,4,0.58,0.0,0.73,652,18,2049,54.33,18.0,62.09,326.0,512.0,6.0,7.0,5.5,0.0,5.5,4.5,5.0,7.0,4.5,4.5,5.0,7.0,5.0,4.5,5.0,6.5,4.0,5.5,5.5,5.0,5.0,5.5,4.5,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.5,4.0,6.5,4.5,5.0,2.0,,,,1.0,2.0,7.0,0.6723,411.0,2.0,15.0,41.72,17.0,,,0.0,Troyes,Auxerre,2022-11-04,0.22,0.42392,0.43272,0.42649,
Gerson,MO,26,29.0,5.22,4.5,5.65,9,1,37,1.09,0.0,1.16,2,0,10,0.67,0.0,0.81,419,18,2541,46.56,18.0,68.68,210.0,254.0,5.5,13.0,4.5,0.0,0.0,4.5,7.0,0.0,4.0,7.0,5.0,0.0,5.5,4.5,5.0,8.5,4.5,7.0,4.5,7.0,7.0,4.5,5.0,7.0,7.0,7.5,5.0,5.5,5.5,5.5,7.0,5.0,6.0,0.0,4.0,5.0,5.5,7.5,5.0,0.0,2.0,,,,,,3.0,0.7489,273.0,1.0,4.0,42.47,16.0,,,4.5,Marseille,Lyon,2022-11-06,50.0,0.6307,0.63426,0.6454,
Khazri Wahbi,MO,24,31.0,5.2,3.5,5.22,10,1,32,1.14,0.0,1.0,2,0,9,0.7,1.0,0.78,639,90,2241,63.9,90.0,70.03,320.0,249.0,4.5,12.0,3.5,0.0,4.5,4.5,4.5,6.0,4.0,0.0,0.0,7.0,6.0,6.0,6.0,5.0,4.0,0.0,0.0,4.5,5.0,4.5,0.0,0.0,4.5,5.0,4.5,0.0,6.5,5.0,7.0,0.0,0.0,0.0,4.5,4.5,4.0,5.0,6.0,4.5,2.0,,,,1.0,,6.0,0.7338,314.0,4.0,7.0,47.19,6.0,,,0.0,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,
Ismaily,DL,13,15.0,5.13,5.13,5.13,12,12,12,1.05,1.05,1.05,2,2,2,0.92,0.92,0.92,967,967,967,80.58,80.58,80.58,484.0,484.0,5.5,6.5,4.5,4.0,6.5,5.0,4.5,5.0,5.5,6.0,5.0,6.0,3.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,1.0,3.0,6.0,0.7818,784.0,11.0,8.0,59.34,5.0,,,0.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,
Mothiba Lebo,A,6,6.0,5.1,6.0,4.76,5,2,19,0.82,0.0,0.77,2,2,4,0.0,0.0,0.26,97,75,618,19.4,37.5,32.53,49.0,155.0,6.0,3.0,6.0,6.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.0,4.0,3.5,5.0,0.0,4.5,4.5,6.0,5.0,6.0,5.0,4.5,3.5,4.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.6143,27.0,,,27.27,2.0,,,0.0,Strasbourg,Ajaccio,2022-11-05,44.82000000000001,0.48208,0.48539,0.48543,
Germain Valère,A,10,14.0,4.91,4.67,4.7,11,6,40,1.09,0.68,0.83,2,0,3,0.18,0.0,0.5,249,105,1854,22.64,17.5,46.35,125.0,618.0,7.0,5.0,4.0,4.5,4.5,4.5,4.5,6.0,0.0,3.5,5.5,7.5,5.0,4.5,0.0,5.0,4.5,4.5,4.5,4.0,4.0,4.5,4.5,3.5,5.5,5.0,4.5,4.0,4.5,4.5,4.0,5.0,4.5,0.0,6.0,7.0,4.5,4.5,4.0,4.5,,,,,,,1.0,0.7359,119.0,2.0,1.0,44.44,3.0,,,4.5,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,Sursis (8sem.)
Porozo Jackson,DC,12,12.0,4.9,4.67,4.9,10,3,10,0.84,0.76,0.84,2,1,2,1.0,1.0,1.0,869,270,869,86.9,90.0,86.9,435.0,435.0,5.5,6.0,4.0,4.5,5.5,0.0,6.0,5.5,5.5,5.0,5.5,0.0,0.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.7951,458.0,18.0,9.0,58.65,16.0,,,0.0,Troyes,Auxerre,2022-11-04,0.22,0.42392,0.43272,0.42649,Sursis (11sem.)
